着順,馬番,馬名,性齢,負担重量,騎手,推定上り,馬体重（増減）,調教師,人気,降水量,気温,風速,風向
1,1,オーロラテソーロ,牡2,55,大野 拓弥,36.7,484(0),畠山 吉宏,2,0,29.2,1.6,北
2,7,ダブリナーズ,牡2,52,▲岩田 望来,37.7,464(-4),藤原 英昭,4,0,29.2,1.6,北
3,10,ニシノホライゾン,牡2,55,内田 博幸,38.2,494(-6),的場 均,1,0,29.2,1.6,北
4,11,シゲルタイタン,牡2,55,三浦 皇成,37.7,470(-8),伊藤 圭三,5,0,29.2,1.6,北
5,5,ボマライン,牡2,55,石橋 脩,39.5,458(-6),田村 康仁,3,0,29.2,1.6,北
6,6,ディーカラーズ,牡2,53,△木幡 育也,39.1,480(-12),高橋 祥泰,6,0,29.2,1.6,北
7,8,タマサイ,牝2,54,杉原 誠人,38.2,422(-4),尾関 知人,10,0,29.2,1.6,北
8,9,ショウリオウ,牡2,55,菅原 隆一,38.7,440(0),武市 康男,13,0,29.2,1.6,北
9,12,グラスピエーナ,牝2,54,木幡 巧也,38.7,450(-4),田中 清隆,12,0,29.2,1.6,北
10,4,セイカタチバナ,牡2,55,石川 裕紀人,40.2,460(+2),南田 美知雄,8,0,29.2,1.6,北
11,2,キャストロペトラ,牡2,55,吉田 豊,40.4,450(-4),粕谷 昌央,9,0,29.2,1.6,北
12,13,トレンディー,牡2,54,☆野中 悠太郎,39.3,448(-8),小西 一男,11,0,29.2,1.6,北
13,3,ニシノコードブルー,牡2,55,戸崎 圭太,39.7,448(+4),小桧山 悟,7,0,29.2,1.6,北
2019/10/5,1R,,,,,,,,,,,,
1,,1,マルガイオーロラテソーロ,牡2,55,大野 拓弥,36.7,484(0),畠山 吉宏,2,,,
2,,7,マルガイダブリナーズ,牡2,52,▲岩田 望来,37.7,464(-4),藤原 英昭,4,,,
3,,10,ニシノホライゾン,牡2,55,内田 博幸,38.2,494(-6),的場 均,1,,,
4,,11,シゲルタイタン,牡2,55,三浦 皇成,37.7,470(-8),伊藤 圭三,5,,,
5,,5,ボマライン,牡2,55,石橋 脩,39.5,458(-6),田村 康仁,3,,,
6,,6,ディーカラーズ,牡2,53,△木幡 育也,39.1,480(-12),高橋 祥泰,6,,,
7,,8,タマサイ,牝2,54,杉原 誠人,38.2,422(-4),尾関 知人,10,,,
8,,9,ショウリオウ,牡2,55,菅原 隆一,38.7,440(0),武市 康男,13,,,
9,,12,グラスピエーナ,牝2,54,木幡 巧也,38.7,450(-4),田中 清隆,12,,,
10,,4,セイカタチバナ,牡2,55,石川 裕紀人,40.2,460(+2),南田 美知雄,8,,,
11,,2,キャストロペトラ,牡2,55,吉田 豊,40.4,450(-4),粕谷 昌央,9,,,
12,,13,トレンディー,牡2,54,☆野中 悠太郎,39.3,448(-8),小西 一男,11,,,
13,,3,ニシノコードブルー,牡2,55,戸崎 圭太,39.7,448(+4),小桧山 悟,7,,,
,,,,,,,,,,,,,
2019/10/5,2R,,,,,,,,,,,,
1,枠6緑,7,ペルラネーラ,牝2,54,戸崎 圭太,33.6,446(-6),国枝 栄,1,,,
2,枠6緑,6,マスターワーク,牝2,54,三浦 皇成,34.1,480(+2),鹿戸 雄一,3,,,
3,枠3赤,3,シェクロエ,牝2,54,M.デムーロ,34.2,432(0),小野 次郎,2,,,
4,枠4青,4,ウインアステロイド,牡2,55,内田 博幸,34.6,444(0),和田 正一郎,5,,,
5,枠7橙,8,アイルショウユー,牝2,54,大野 拓弥,34.6,428(0),岩戸 孝樹,4,,,
6,枠1白,1,ベルブション,牡2,55,北村 宏司,34.4,452(-6),青木 孝文,7,,,
7,枠8桃,10,アコルドエール,牡2,55,石川 裕紀人,34.7,482(-2),中川 公成,6,,,
8,枠8桃,11,ジャジャウマ,牝2,51,▲岩田 望来,34.3,420(0),深山 雅史,10,,,
9,枠2黒,2,ジャストワン,牡2,54,☆野中 悠太郎,34.7,492(-10),小西 一男,9,,,
10,枠7橙,9,コスモフラッター,牡2,55,柴田 大知,35,468(-8),金成 貴史,11,,,
11,枠5黄,5,ザビーチ,牝2,54,田中 勝春,35.7,448(-8),高市 圭二,8,,,
,,,,,,,,,,,,,
2019/10/5,3R,,,,,,,,,,,,
1,枠8桃,14,チェーンオブラブ,牝2,54,三浦 皇成,33.7,462(-4),小笠 倫弘,2,,,
2,枠7橙,12,タイキラッシュ,牡2,55,大野 拓弥,33.3,500(+14),高木 登,5,,,
3,枠6緑,10,メルテッドハニー,牝2,51,▲岩田 望来,34.3,396(+8),大江原 哲,6,,,
4,枠5黄,7,ガストロノミスト,牡2,55,石橋 脩,33.8,476(0),小崎 憲,4,,,
5,枠7橙,11,シャチ,牡2,55,吉田 豊,33.8,436(-8),小桧山 悟,9,,,
6,枠4青,5,ザンセツ,牡2,55,内田 博幸,34,432(0),古賀 慎明,3,,,
7,枠3赤,4,コスモカンツォーネ,牡2,55,柴田 大知,34.9,438(-8),高橋 祥泰,10,,,
8,枠3赤,3,ヴォールヴィコント,牝2,54,戸崎 圭太,34.4,488(+4),上原 博之,1,,,
9,枠6緑,9,ミツカネショコラ,牝2,54,武士沢 友治,33.6,400(-8),清水 英克,8,,,
10,枠8桃,13,ロードカバチ,牡2,54,☆野中 悠太郎,34,426(-4),菊川 正達,11,,,
11,枠1白,1,ピュアハート,牝2,52,△木幡 育也,34.3,498(-16),杉浦 宏昭,13,,,
12,枠5黄,8,テルミーユアラヴ,牝2,54,石川 裕紀人,35.8,452(0),相沢 郁,7,,,
13,枠2黒,2,コーリンマジェリー,牝2,54,木幡 巧也,35.9,440(-10),小野 次郎,12,,,
14,枠4青,6,リトルウィジー,牝2,53,☆武藤 雅,35.2,402(+2),中野 栄治,14,,,
,,,,,,,,,,,,,
2019/10/5,4R,,,,,,,,,,,,
1,枠3赤,5,タイアンキチジツ,牝2,51,▲岩田 望来,38.9,482(初出走),中舘 英二,7,,,
2,枠8桃,16,アールウェルス,牡2,55,藤岡 佑介,39.4,510(初出走),牧浦 充徳,3,,,
3,枠6緑,11,スズカゴウケツ,牡2,55,田中 勝春,38,458(初出走),伊藤 圭三,6,,,
4,枠3赤,6,ヌンカプト,牡2,55,江田 照男,39.5,442(初出走),矢野 英一,2,,,
5,枠2黒,4,マルガイキンバリープロセス,牡2,55,石橋 脩,38.4,504(初出走),手塚 貴久,5,,,
6,枠4青,8,マルガイアメリカンニーニャ,牝2,54,戸崎 圭太,40.2,512(初出走),石坂 公一,1,,,
7,枠2黒,3,ネオデレヤ,牡2,54,☆野中 悠太郎,38.6,474(初出走),小西 一男,14,,,
8,枠1白,2,フジコウキ,牡2,55,松岡 正海,37.6,474(初出走),高市 圭二,12,,,
9,枠7橙,14,ヘニービュット,牡2,55,小崎 綾也,41.5,502(初出走),池上 昌和,8,,,
10,枠1白,1,クリアミッション,牡2,55,大庭 和弥,39,500(初出走),土田 稔,9,,,
11,枠7橙,13,ティアップレディー,牝2,54,杉原 誠人,37.9,454(初出走),奥平 雅士,11,,,
12,枠8桃,15,ラブオーソ,牝2,51,▲大塚 海渡,40.6,434(初出走),和田 雄二,16,,,
13,枠5黄,10,ジニアテソーロ,牝2,52,△木幡 育也,41.8,446(初出走),奥平 雅士,4,,,
14,枠4青,7,タレントバイオ,牝2,54,木幡 巧也,42,470(初出走),牧 光二,13,,,
15,枠5黄,9,レクレール,牡2,55,武士沢 友治,40.7,466(初出走),堀井 雅広,15,,,
16,枠6緑,12,ワンビリーブ,牡2,55,石川 裕紀人,46.2,508(初出走),相沢 郁,10,,,
,,,,,,,,,,,,,
2019/10/5,5R,,,,,,,,,,,,
1,枠8桃,16,ラッシュアップ,牡2,55,戸崎 圭太,34.7,526(初出走),金成 貴史,3,,,
2,枠5黄,10,スピードオブラブ,牝2,54,北村 宏司,34.3,432(初出走),中川 公成,10,,,
3,枠4青,7,クロミナンス,牡2,55,M.デムーロ,35.3,480(初出走),尾関 知人,1,,,
4,枠6緑,12,グッドマックス,牝2,54,木幡 巧也,34.4,448(初出走),堀井 雅広,8,,,
5,枠2黒,3,クリノプレミアム,牝2,54,田中 勝春,35.2,460(初出走),伊藤 伸一,7,,,
6,枠7橙,14,フェデネージュ,牝2,54,蛯名 正義,35.3,432(初出走),国枝 栄,2,,,
7,枠3赤,5,ジェロボーム,牝2,54,三浦 皇成,35,490(初出走),古賀 慎明,5,,,
8,枠8桃,18,ナゲキッス,牝2,54,江田 照男,35.5,418(初出走),大江原 哲,15,,,
9,枠2黒,4,コバルトスカイ,牝2,53,☆野中 悠太郎,35.3,470(初出走),黒岩 陽一,4,,,
10,枠8桃,17,ミヤビマドンナ,牝2,54,松岡 正海,35.9,450(初出走),中舘 英二,6,,,
11,枠3赤,6,ジャポネスク,牝2,54,大野 拓弥,35.1,416(初出走),高橋 祥泰,13,,,
12,枠1白,2,ボンテンマル,牡2,54,☆武藤 雅,35.8,434(初出走),尾形 和幸,9,,,
13,枠1白,1,ナムラアロハ,牝2,51,▲大塚 海渡,35.8,378(初出走),石栗 龍彦,17,,,
14,枠7橙,13,グランバル,牡2,55,太宰 啓介,37.1,466(初出走),和田 雄二,11,,,
15,枠5黄,9,テイエムピカピカ,牝2,54,菅原 隆一,36.8,460(初出走),石栗 龍彦,16,,,
16,枠6緑,11,カゼニノッテ,牝2,54,大庭 和弥,36,452(初出走),松永 康利,18,,,
17,枠7橙,15,シデンカイ,牡2,55,武士沢 友治,36.5,526(初出走),清水 英克,12,,,
18,枠4青,8,ジャストチョウサン,牡2,55,石川 裕紀人,37,460(初出走),蛯名 利弘,14,,,
,,,,,,,,,,,,,
2019/10/5,11R,,,,,,,,,,,,
1,枠3赤,3,サリオス,牡2,55,石橋 脩,33.1,540(+6),堀 宣行,1,,,
2,枠6緑,6,クラヴァシュドール,牝2,54,藤岡 佑介,33.1,450(0),中内田 充正,2,,,
3,枠8桃,8,アブソルティスモ,牡2,55,戸崎 圭太,34.3,494(-4),藤沢 和雄,3,,,
4,枠2黒,2,ジェラペッシュ,牝2,54,吉田 豊,34.1,446(+4),尾関 知人,6,,,
5,枠8桃,9,エンジェルサークル,牝2,54,M.デムーロ,33.7,436(-6),中川 公成,5,,,
6,枠7橙,7,シコウ,牡2,55,木幡 巧也,34.9,450(-10),牧 光二,7,,,
7,枠4青,4,カップッチョ,牡2,55,江田 照男,34.4,440(+2),高市 圭二,9,,,
8,枠5黄,5,ロードエクスプレス,牡2,55,三浦 皇成,34.4,438(+6),坂口 智康,4,,,
9,枠1白,1,イロゴトシ,牡2,55,小崎 綾也,35,458(+4),牧田 和弥,8,,,
,,,,,,,,,,,,,
2019/10/6,1R,,,,,,,,,,,,
1,枠6緑,6,ホットミスト,牝2,54,福永 祐一,37,462(+4),安田 隆行,1,,,
2,枠7橙,9,マイネルエスペルト,牡2,55,津村 明秀,37.7,498(-6),水野 貴広,4,,,
3,枠8桃,10,カッチョカバロ,牡2,55,木幡 巧也,38,490(+2),牧 光二,2,,,
4,枠8桃,11,コスモケルビン,牡2,55,柴田 大知,37.6,484(-4),佐藤 吉勝,3,,,
5,枠4青,4,シュプレムラン,牡2,53,△木幡 育也,37.8,476(0),田中 博康,5,,,
6,枠7橙,8,リュウノブルック,牡2,55,菅原 隆一,38.8,458(-6),小野 次郎,8,,,
7,枠1白,1,タイセイブーティー,牡2,55,石橋 脩,38.4,460(+8),伊藤 圭三,6,,,
8,枠2黒,2,ナックライオン,牡2,52,▲岩田 望来,39.6,498(+2),杉浦 宏昭,9,,,
9,枠3赤,3,ニシノジェイピー,牡2,54,☆武藤 雅,38.5,432(+4),田村 康仁,7,,,
10,枠5黄,5,ユーアーマイソウル,牡2,55,松岡 正海,39.8,474(-4),伊藤 伸一,10,,,
11,枠6緑,7,バトルモモタロー,牡2,54,☆野中 悠太郎,38.9,412(0),伊藤 大士,11,,,
,,,,,,,,,,,,,
2019/10/6,2R,,,,,,,,,,,,
1,枠6緑,11,スズカコーズマンボ,牡2,55,北村 宏司,36.5,464(+6),伊藤 圭三,8,,,
2,枠8桃,16,ソクシン,牡2,54,☆野中 悠太郎,37.6,508(-6),小西 一男,3,,,
3,枠6緑,12,ラブリーエンジェル,牝2,54,武士沢 友治,37.8,432(-8),堀井 雅広,13,,,
4,枠2黒,3,ハディア,牡2,55,津村 明秀,38.7,452(+2),粕谷 昌央,11,,,
5,枠4青,7,ビッグワンビリーブ,牡2,55,木幡 巧也,38.8,444(-10),蛯名 利弘,12,,,
6,枠3赤,6,パイプライン,牡2,55,田中 勝春,39.1,482(-4),田中 剛,1,,,
7,枠7橙,13,ワセダウォリアー,牡2,55,戸崎 圭太,39,460(0),金成 貴史,2,,,
8,枠4青,8,ケイティディライト,牝2,54,四位 洋文,39.5,444(-4),小野 次郎,5,,,
9,枠1白,2,セイウンハテンコウ,牡2,55,内田 博幸,39.8,506(-4),武市 康男,4,,,
10,枠2黒,4,コスモピオニール,牡2,55,柴田 大知,38.8,462(0),天間 昭一,15,,,
11,枠1白,1,トーセンコパン,牡2,53,△木幡 育也,39,468(+2),菊沢 隆徳,9,,,
12,枠5黄,9,ホープブロッサム,牝2,54,A.シュタルケ,39.3,476(-10),池上 昌和,6,,,
13,枠5黄,10,ペリトモレノ,牝2,54,江田 照男,40.2,458(-8),大江原 哲,7,,,
14,枠7橙,14,ラカルマ,牝2,51,▲岩田 望来,40.5,472(-8),杉浦 宏昭,10,,,
15,枠8桃,15,トーアクルス,牡2,55,酒井 学,39.4,496(+2),作田 誠二,14,,,
16,枠3赤,5,ユラ,牝2,54,服部 茂史,39.5,458(-2),小桧山 悟,16,,,
,,,,,,,,,,,,,
2019/10/6,3R,,,,,,,,,,,,
1,枠7橙,9,ヴァルナ,牡2,55,福永 祐一,34,492(+12),寺島 良,2,,,
2,枠6緑,7,ゴールドパラディン,牡2,55,戸崎 圭太,34.4,430(0),山内 研二,4,,,
3,枠7橙,10,エースインザハート,牡2,53,△木幡 育也,34.5,440(-2),高市 圭二,6,,,
4,枠8桃,12,ツクバゴールド,牡2,55,A.シュタルケ,34.8,508(0),清水 久詞,3,,,
5,枠5黄,6,マイネルシスネロス,牡2,54,☆武藤 雅,34.3,462(+4),水野 貴広,1,,,
6,枠3赤,3,シバノレイワ,牡2,55,北村 宏司,34.8,460(+2),萱野 浩二,7,,,
7,枠1白,1,ハッピールーラ,牡2,55,松岡 正海,34.8,448(-2),長谷川 浩大,5,,,
8,枠6緑,8,センノベステス,牡2,55,吉田 豊,34.7,484(-10),南田 美知雄,11,,,
9,枠5黄,5,オウサマプリン,牡2,55,服部 茂史,35.8,468(+4),的場 均,12,,,
10,枠8桃,11,イッツオーライト,牡2,54,☆野中 悠太郎,36.9,442(-4),竹内 正洋,8,,,
11,枠2黒,2,グラスカルメン,牝2,54,木幡 巧也,36.9,434(+6),尾形 和幸,9,,,
12,枠4青,4,ハーフジャック,牡2,52,▲岩田 望来,37.7,418(-4),加藤 士津八,10,,,
,,,,,,,,,,,,,
2019/10/6,4R,,,,,,,,,,,,
1,枠1白,2,バトルカグヤ,牝2,54,津村 明秀,34.7,460(初出走),本田 優,7,,,
2,枠7橙,15,トルニ,牝2,54,吉田 豊,34,458(初出走),高橋 裕,9,,,
3,枠6緑,12,オメガデラックス,せん2,55,石橋 脩,34,432(初出走),安田 翔伍,4,,,
4,枠1白,1,ダイワリチャード,牡2,55,内田 博幸,34.5,446(初出走),上原 博之,2,,,
5,枠3赤,6,イザラ,牝2,54,福永 祐一,34.7,442(初出走),加藤 征弘,1,,,
6,枠4青,8,スズノヤマト,牡2,55,幸 英明,35,460(初出走),高橋 裕,5,,,
7,枠5黄,10,ドンマニフィコ,牡2,55,A.シュタルケ,34.8,428(初出走),牧浦 充徳,6,,,
8,枠2黒,4,マイネルアルモニコ,牡2,55,柴田 大知,35.1,428(初出走),鹿戸 雄一,8,,,
9,枠6緑,11,ベスティア,牡2,54,☆野中 悠太郎,34.9,472(初出走),黒岩 陽一,11,,,
10,枠5黄,9,シュシュダムール,牝2,52,△木幡 育也,35.3,422(初出走),粕谷 昌央,13,,,
11,枠7橙,14,シラカワカツコ,牝2,54,松岡 正海,33.8,394(初出走),伊藤 伸一,16,,,
12,枠2黒,3,ディーバダンス,牝2,51,▲岩田 望来,35.3,448(初出走),大江原 哲,14,,,
13,枠8桃,16,ワキノフオルテ,牡2,55,田中 勝春,35.4,470(初出走),清水 久詞,10,,,
14,枠3赤,5,ハルノマリーナ,牝2,54,服部 茂史,35.1,460(初出走),小桧山 悟,12,,,
15,枠7橙,13,ホルダンモル,牝2,54,武士沢 友治,34.9,418(初出走),松永 康利,15,,,
16,枠4青,7,ヤマヒビキ,牝2,54,石神 深一,35.1,466(初出走),石栗 龍彦,18,,,
17,枠8桃,18,ハシレコウマ,牡2,55,菅原 隆一,35.8,492(初出走),石栗 龍彦,17,,,
18,枠8桃,17,ラファエル,牡2,55,戸崎 圭太,36.9,486(初出走),伊藤 圭三,3,,,
,,,,,,,,,,,,,
2019/10/6,5R,,,,,,,,,,,,
1,枠8桃,10,サクラトゥジュール,牡2,55,石橋 脩,33.6,472(初出走),堀 宣行,2,,,
2,枠7橙,9,ロードソリッド,牡2,55,A.シュタルケ,33.8,458(初出走),清水 久詞,3,,,
3,枠6緑,7,ランサムトラップ,牝2,54,木幡 巧也,34,418(初出走),根本 康広,11,,,
4,枠1白,1,ダノングロワール,牡2,55,戸崎 圭太,34.3,490(初出走),国枝 栄,1,,,
5,枠5黄,5,マルターズデセオ,牡2,54,☆武藤 雅,34.3,482(初出走),手塚 貴久,6,,,
6,枠7橙,8,ジュールサイクル,牝2,54,内田 博幸,34,452(初出走),田中 剛,7,,,
7,枠4青,4,ビレッジイーグル,牡2,55,松岡 正海,34.9,478(初出走),竹内 正洋,4,,,
8,枠3赤,3,ホウオウトラスト,牡2,55,津村 明秀,34.4,478(初出走),池上 昌和,5,,,
9,枠6緑,6,タイガ,牡2,55,的場 勇人,34.3,506(初出走),的場 均,9,,,
10,枠8桃,11,アンリーシュ,牝2,54,北村 宏司,34.5,430(初出走),小西 一男,10,,,
11,枠2黒,2,イッツエルメス,牝2,53,☆野中 悠太郎,35.1,464(初出走),畠山 吉宏,8,,,