着順,馬番,馬名,性齢,負担重量,騎手,推定上り,馬体重（増減）,調教師,人気,降水量(合計),気温(平均),風速(平均),風向(最多)
8,16,リベリアスハート,牡2,55,内田 博幸,34.9,448(初出走),上原 博之,5,6,17.9,1.1,北東
9,10,トゥゲザーアゲイン,牡2,55,松岡 正海,35.1,438(初出走),伊藤 伸一,12,6,17.9,1.1,北東
10,4,ジオパークアポロ,牡2,55,田中 勝春,34.7,436(初出走),田中 剛,13,6,17.9,1.1,北東
11,14,ネイチャーカレン,牡2,54,☆野中 悠太郎,34.7,452(初出走),根本 康広,9,6,17.9,1.1,北東
12,8,リチェルカータ,牝2,51,▲藤田 菜七子,34.4,434(初出走),高橋 文雅,7,6,17.9,1.1,北東
13,7,アテンミラクル,牡2,54,☆菊沢 一樹,35.2,442(初出走),高橋 祥泰,18,6,17.9,1.1,北東
14,5,キッズシタイヒャー,牡2,55,武士沢 友治,34.4,450(初出走),武市 康男,16,6,17.9,1.1,北東
15,12,フィエールボス,牡2,55,丸山 元気,35.2,478(初出走),中野 栄治,11,6,17.9,1.1,北東
16,3,ガナドルメモリア,牝2,54,岩田 康誠,35,450(初出走),杉浦 宏昭,14,6,17.9,1.1,北東
17,17,オモカゲ,牝2,52,△木幡 育也,35.5,448(初出走),本間 忍,17,6,17.9,1.1,北東
18,6,ユラヒメ,牝2,54,木幡 巧也,35.6,436(初出走),新開 幸一,6,6,17.9,1.1,北東
,,,,,,,,,,,,,
2019/10/26,1R,,,,,,,,,,,,
1,3,セントオブゴールド,牡2,55,C.ルメール,33.8,440(-6),木村 哲也,1,0,17.9,1.4,西
2,6,ジューンミュゲ,牝2,54,高田 潤,34.4,442(0),武 英智,2,0,17.9,1.4,西
3,2,ジェロボーム,牝2,54,三浦 皇成,34.8,490(0),古賀 慎明,6,0,17.9,1.4,西
4,8,コスモレペティール,牝2,54,津村 明秀,35.3,428(-10),萱野 浩二,3,0,17.9,1.4,西
5,1,マルターズデセオ,牡2,54,☆武藤 雅,35.2,486(+4),手塚 貴久,5,0,17.9,1.4,西
6,5,ラシカルガイブ,牝2,54,柴田 大知,35.8,438(-2),伊藤 大士,7,0,17.9,1.4,西
7,4,デュープス,牝2,54,武士沢 友治,36,410(-2),星野 忍,8,0,17.9,1.4,西
8,7,カピテル,牡2,55,江田 照男,36,490(+6),宗像 義忠,4,0,17.9,1.4,西
,,,,,,,,,,,,,
2019/10/26,2R,,,,,,,,,,,,
1,2,マイネルデステリョ,牡2,55,津村 明秀,35.4,444(-2),畠山 吉宏,5,0,17.9,1.4,西
2,4,レットミーアウト,牝2,54,戸崎 圭太,35.1,466(-2),水野 貴広,3,0,17.9,1.4,西
3,3,メリディアンローグ,牡2,55,C.ルメール,35,460(-4),藤沢 和雄,1,0,17.9,1.4,西
4,5,コスモタイシ,牡2,55,柴田 大知,36.2,450(+6),高橋 祥泰,6,0,17.9,1.4,西
5,8,クロワルース,牝2,54,川田 将雅,36.3,472(+10),古賀 慎明,2,0,17.9,1.4,西
6,7,ジンジャーマン,牡2,55,田辺 裕信,36.1,494(-4),伊藤 圭三,4,0,17.9,1.4,西
7,6,ダイユウローズ,牝2,54,木幡 巧也,37,504(0),松永 康利,7,0,17.9,1.4,西
8,9,ジャストワン,牡2,54,☆野中 悠太郎,38,498(+6),小西 一男,9,0,17.9,1.4,西
9,1,セイスケルツォ,牡2,54,☆武藤 雅,40.6,492(+2),堀井 雅広,8,0,17.9,1.4,西
,,,,,,,,,,,,,
2019/10/26,3R,,,,,,,,,,,,
1,6,ベイサイドブルー,牡2,55,石橋 脩,36.2,532(-4),矢作 芳人,2,0,17.9,1.4,西
2,5,サンダーブリッツ,牡2,55,大野 拓弥,35.9,480(+8),久保田 貴士,1,0,17.9,1.4,西
3,12,テランガ,牡2,55,M.デムーロ,36.8,458(-8),武 幸四郎,5,0,17.9,1.4,西
4,1,シゲルミカヅキ,牡2,55,戸崎 圭太,36.9,448(-2),伊藤 圭三,3,0,17.9,1.4,西
5,11,スペラメント,牡2,55,横山 典弘,36.4,490(-2),和田 勇介,6,0,17.9,1.4,西
6,14,コパノラクラク,牝2,54,柴田 善臣,37,434(0),和田 勇介,13,0,17.9,1.4,西
7,2,マイネルエスペルト,牡2,55,津村 明秀,37.9,494(-4),水野 貴広,4,0,17.9,1.4,西
8,9,フジコウキ,牡2,54,☆野中 悠太郎,37.4,472(-2),高市 圭二,8,0,17.9,1.4,西
9,4,ラテール,牡2,55,江田 照男,38.7,482(+4),杉浦 宏昭,10,0,17.9,1.4,西
10,7,プロローグナンバー,牡2,55,杉原 誠人,36.8,478(0),根本 康広,15,0,17.9,1.4,西
11,8,シゲルエリス,牡2,55,木幡 巧也,37.3,480(+8),的場 均,11,0,17.9,1.4,西
12,10,コスモケルビン,牡2,55,柴田 大知,38.5,486(+2),佐藤 吉勝,7,0,17.9,1.4,西
13,3,ラブオーソ,牝2,54,内田 博幸,37.4,436(+2),和田 雄二,12,0,17.9,1.4,西
14,13,ショウゲキノノロシ,牡2,55,武士沢 友治,38.1,418(-6),小桧山 悟,14,0,17.9,1.4,西
15,15,メイクルーザー,牝2,54,三浦 皇成,38.6,448(+4),森 秀行,9,0,17.9,1.4,西
,,,,,,,,,,,,,
2019/10/26,4R,,,,,,,,,,,,
1,5,ボンボンショコラ,牝2,54,岩部 純二,37.1,484(初出走),石毛 善彦,6,0,17.9,1.4,西
2,2,キョシンタンカイ,牡2,55,田辺 裕信,37.5,498(初出走),武市 康男,3,0,17.9,1.4,西
3,8,アルヴェント,牝2,54,M.デムーロ,37.2,470(初出走),武 幸四郎,1,0,17.9,1.4,西
4,7,ハリケーンメファ,牝2,54,木幡 巧也,38.1,434(初出走),牧 光二,2,0,17.9,1.4,西
5,1,ユタカサン,牡2,55,吉田 豊,36.6,478(初出走),竹内 正洋,4,0,17.9,1.4,西
6,4,レイニーウェイ,牡2,54,☆武藤 雅,38.4,446(初出走),田島 俊明,5,0,17.9,1.4,西
7,13,アルマザッハーク,牡2,55,三浦 皇成,38.4,498(初出走),田村 康仁,10,0,17.9,1.4,西
8,14,エンフォーサー,牝2,54,北村 宏司,36.4,458(初出走),伊藤 伸一,9,0,17.9,1.4,西
9,3,カラヤン,牡2,55,原田 和真,37.1,480(初出走),小桧山 悟,13,0,17.9,1.4,西
10,11,プーラン,牝2,54,津村 明秀,37.9,482(初出走),清水 英克,7,0,17.9,1.4,西
11,6,ラクロワゼット,牡2,53,△木幡 育也,38.3,480(初出走),和田 勇介,11,0,17.9,1.4,西
12,10,サンヘイワード,牡2,55,武士沢 友治,37.6,458(初出走),青木 孝文,14,0,17.9,1.4,西
13,12,モリトアリュルヒメ,牝2,54,内田 博幸,36.6,530(初出走),堀井 雅広,8,0,17.9,1.4,西
14,9,キンバーライト,牡2,55,大野 拓弥,39.8,494(初出走),畠山 吉宏,12,0,17.9,1.4,西
,,,,,,,,,,,,,
2019/10/26,5R,,,,,,,,,,,,
1,16,アオイクレアトール,牡2,55,戸崎 圭太,34.4,468(初出走),古賀 慎明,3,0,17.9,1.4,西
2,13,コトブキテティス,牝2,53,☆武藤 雅,33.6,438(初出走),田島 俊明,11,0,17.9,1.4,西
3,3,クロノメーター,牡2,55,内田 博幸,34.3,432(初出走),尾形 和幸,5,0,17.9,1.4,西
4,6,ナリノクリスティー,牝2,54,田辺 裕信,35.3,438(初出走),上原 博之,6,0,17.9,1.4,西
5,9,パイネ,牝2,54,C.ルメール,33.2,426(初出走),国枝 栄,1,0,17.9,1.4,西
6,12,スイートクラス,牡2,55,石橋 脩,34,484(初出走),林 徹,4,0,17.9,1.4,西
7,14,カドフィール,牡2,55,木幡 巧也,34.2,428(初出走),尾形 和幸,13,0,17.9,1.4,西
8,4,アンブローニュ,牡2,55,柴田 善臣,35,478(初出走),黒岩 陽一,15,0,17.9,1.4,西
9,7,ナックペガサス,牡2,53,△木幡 育也,35.2,450(初出走),杉浦 宏昭,9,0,17.9,1.4,西
10,11,ピースボヌール,牡2,55,大野 拓弥,34.1,484(初出走),斎藤 誠,10,0,17.9,1.4,西
11,8,グランドストローク,牡2,55,原田 和真,35.1,442(初出走),水野 貴広,17,0,17.9,1.4,西
12,15,マイネルピカソ,牡2,55,柴田 大知,35.1,448(初出走),中野 栄治,16,0,17.9,1.4,西
13,2,ペガサスターボ,牡2,55,北村 宏司,34,502(初出走),勢司 和浩,8,0,17.9,1.4,西
14,10,セブンミラクル,牡2,55,江田 照男,36.6,484(初出走),本間 忍,14,0,17.9,1.4,西
15,5,トラストダーコ,牝2,54,吉田 豊,34.9,446(初出走),高橋 文雅,12,0,17.9,1.4,西
16,1,キングダムウイナー,牡2,55,M.デムーロ,34.5,490(初出走),矢作 芳人,2,0,17.9,1.4,西
17,17,シャンテリー,牝2,54,三浦 皇成,38.4,414(初出走),高橋 義忠,7,0,17.9,1.4,西
,,,,,,,,,,,,,
2019/10/26,6R,異常値あり,,,,,,,,,,,
1,16,デュードヴァン,牡2,55,C.ルメール,36.2,470(初出走),加藤 征弘,1,0,17.9,1.4,西
2,3,ダノンファラオ,牡2,55,三浦 皇成,36.8,526(初出走),矢作 芳人,3,0,17.9,1.4,西
3,9,アストロブレイク,牡2,55,田辺 裕信,36.8,480(初出走),相沢 郁,5,0,17.9,1.4,西
4,10,バイシュラバナ,牡2,55,大野 拓弥,36.8,466(初出走),久保田 貴士,6,0,17.9,1.4,西
5,8,サトノレガリア,牡2,55,戸崎 圭太,36.7,494(初出走),萩原 清,2,0,17.9,1.4,西
6,14,サニートーク,牡2,55,柴田 善臣,37.5,474(初出走),稲垣 幸雄,11,0,17.9,1.4,西
7,5,サンビュート,牡2,55,北村 宏司,38.2,494(初出走),中舘 英二,4,0,17.9,1.4,西
8,15,ロッソビアンコネロ,牡2,55,吉田 豊,37.8,498(初出走),田島 俊明,8,0,17.9,1.4,西
9,6,ケイティランボー,牡2,55,杉原 誠人,38,444(初出走),清水 英克,9,0,17.9,1.4,西
10,2,ダルムシュタット,牡2,54,☆野中 悠太郎,38.8,468(初出走),栗田 徹,10,0,17.9,1.4,西
11,4,ビービーレガロ,牡2,54,☆武藤 雅,37.8,526(初出走),戸田 博文,7,0,17.9,1.4,西
12,12,ドリームフォーミー,牝2,54,原田 和真,38.2,430(初出走),小桧山 悟,16,0,17.9,1.4,西
13,1,タイニーキング,牡2,55,内田 博幸,39.5,480(初出走),堀井 雅広,12,0,17.9,1.4,西
14,13,コーリング,せん2,55,武士沢 友治,39.9,474(初出走),深山 雅史,15,0,17.9,1.4,西
15,11,ベスティー,牝2,54,津村 明秀,42.4,470(初出走),林 徹,13,0,17.9,1.4,西
中止,7,シャイニーコースト,牡2,55,江田 照男,,482(初出走),菊川 正達,14,0,17.9,1.4,西
,,,,,,,,,,,,,
2019/10/26,11R,,,,,,,,,,,,
1,9,リアアメリア,牝2,54,川田 将雅,33,482(+20),中内田 充正,1,0,17.9,1.4,西
2,8,サンクテュエール,牝2,54,C.ルメール,33.6,454(+12),藤沢 和雄,2,0,17.9,1.4,西
3,5,ビッククインバイオ,牝2,54,大野 拓弥,33.9,476(-2),牧 光二,5,0,17.9,1.4,西
4,4,ラインオブダンス,牝2,54,M.デムーロ,33.8,480(+4),矢作 芳人,3,0,17.9,1.4,西
5,6,オータムレッド,牝2,54,石橋 脩,33.9,428(-8),手塚 貴久,6,0,17.9,1.4,西
6,3,ルーチェデラヴィタ,牝2,54,池添 謙一,33.9,434(+2),西村 真幸,4,0,17.9,1.4,西
7,2,ショウナンハレルヤ,牝2,54,三浦 皇成,34.1,450(-12),矢野 英一,7,0,17.9,1.4,西
8,1,オムニプレゼンス,牝2,54,北村 宏司,34.5,436(-2),国枝 栄,8,0,17.9,1.4,西
9,7,カイアワセ,牝2,54,武士沢 友治,34.8,438(+6),星野 忍,9,0,17.9,1.4,西
,,,,,,,,,,,,,
2019/10/27,1R,,,,,,,,,,,,
1,14,プロヴィデンス,牡2,55,北村 友一,36.1,466(0),加藤 士津八,4,0,17.7,0.9,北東
2,2,ヴィクトワールボス,牡2,55,戸崎 圭太,36.2,500(-6),岩戸 孝樹,2,0,17.7,0.9,北東
3,12,ニシノホライゾン,牡2,55,内田 博幸,37.2,500(+6),的場 均,1,0,17.7,0.9,北東
4,8,ハットルヴァン,牡2,55,大野 拓弥,37.1,494(+2),菊沢 隆徳,7,0,17.7,0.9,北東
5,6,ヌンカプト,牡2,55,江田 照男,38.2,442(0),矢野 英一,3,0,17.7,0.9,北東
6,10,チェリーガイア,牝2,53,☆野中 悠太郎,39,464(+4),小西 一男,11,0,17.7,0.9,北東
7,1,クリアミッション,牡2,55,大庭 和弥,38,508(+8),土田 稔,13,0,17.7,0.9,北東
8,3,ビッグワンビリーブ,牡2,55,木幡 巧也,38.9,448(+4),蛯名 利弘,6,0,17.7,0.9,北東
9,9,ジニアテソーロ,牝2,54,田辺 裕信,39.4,452(+6),奥平 雅士,8,0,17.7,0.9,北東
10,15,トゥーヤング,牝2,54,宮崎 北斗,38.9,436(0),小桧山 悟,10,0,17.7,0.9,北東
11,5,クリノテルチャン,牝2,54,横山 和生,39.4,478(+4),高市 圭二,9,0,17.7,0.9,北東
12,13,スズノヤマト,牡2,55,三浦 皇成,39.2,458(-2),高橋 裕,5,0,17.7,0.9,北東
13,7,ゴールデンバッド,牡2,55,松岡 正海,39.1,476(+4),斎藤 誠,14,0,17.7,0.9,北東
14,11,レクレール,牡2,55,武士沢 友治,40,468(+2),堀井 雅広,16,0,17.7,0.9,北東
15,16,ミスターコクオウ,牡2,55,嘉藤 貴行,40.6,552(+8),武市 康男,15,0,17.7,0.9,北東
16,4,ダイヤキングダム,牡2,55,小島 太一,41.2,492(0),大江原 哲,12,0,17.7,0.9,北東
,,,,,,,,,,,,,
2019/10/27,2R,,,,,,,,,,,,
1,2,マルガイオーロラフラッシュ,牝2,54,C.ルメール,34.2,448(+2),藤沢 和雄,1,0,17.7,0.9,北東
2,10,ソヨギ,牝2,54,田辺 裕信,34.9,472(+18),粕谷 昌央,3,0,17.7,0.9,北東
3,12,ムーンライト,牝2,54,川田 将雅,34.6,452(+2),清水 久詞,4,0,17.7,0.9,北東
4,1,グッドマックス,牝2,54,武 豊,34.5,442(-6),堀井 雅広,2,0,17.7,0.9,北東
5,9,アイルショウユー,牝2,54,大野 拓弥,34.4,430(+2),岩戸 孝樹,6,0,17.7,0.9,北東
6,7,マルガイカクシン,牡2,55,戸崎 圭太,35.2,508(0),森 秀行,5,0,17.7,0.9,北東
7,11,アルマカーテナ,牝2,54,石橋 脩,35.5,446(+12),田村 康仁,7,0,17.7,0.9,北東
8,8,ジャポネスク,牝2,54,江田 照男,35,420(+4),高橋 祥泰,10,0,17.7,0.9,北東
9,3,スノープロー,牝2,54,木幡 巧也,34.9,426(-8),中野 栄治,11,0,17.7,0.9,北東
10,6,ベアジェット,牡2,55,横山 和生,36,478(+16),杉浦 宏昭,8,0,17.7,0.9,北東
11,5,カゼニノッテ,牝2,54,大庭 和弥,35.8,446(-2),松永 康利,12,0,17.7,0.9,北東
12,4,ムービーヒロイン,牝2,53,☆野中 悠太郎,36.6,438(+16),田村 康仁,9,0,17.7,0.9,北東
,,,,,,,,,,,,,
2019/10/27,3R,,,,,,,,,,,,
1,13,トーセンタイミング,牡2,55,横山 和生,36.4,464(-2),土田 稔,9,0,17.7,0.9,北東
2,5,シゲルタイタン,牡2,55,三浦 皇成,37.6,478(+8),伊藤 圭三,2,0,17.7,0.9,北東
3,3,マルガイキンバリープロセス,牡2,55,石橋 脩,37.5,504(0),手塚 貴久,4,0,17.7,0.9,北東
4,1,ボントンルレ,牡2,55,M.デムーロ,37.9,466(-4),林 徹,6,0,17.7,0.9,北東
5,9,リブエターナル,牝2,54,幸 英明,38.3,450(-10),田村 康仁,5,0,17.7,0.9,北東
6,2,フィリーズフェスタ,牝2,54,武士沢 友治,38.6,482(-4),武市 康男,8,0,17.7,0.9,北東
7,11,セイカタチバナ,牡2,55,大野 拓弥,38.1,458(-2),南田 美知雄,12,0,17.7,0.9,北東
8,8,アールウェルス,牡2,55,藤岡 佑介,39.4,512(+2),牧浦 充徳,1,0,17.7,0.9,北東
9,4,マルガイマイネルティプトン,牡2,55,内田 博幸,38.1,474(+2),青木 孝文,10,0,17.7,0.9,北東
10,6,グローサーベア,せん2,55,戸崎 圭太,38.8,462(+2),矢野 英一,3,0,17.7,0.9,北東
11,12,ハバチューバー,牡2,54,☆野中 悠太郎,38.1,488(-16),浅野 洋一郎,11,0,17.7,0.9,北東
12,7,ビレッジイーグル,牡2,55,松岡 正海,40.2,488(+10),竹内 正洋,7,0,17.7,0.9,北東
13,10,カシノスペリオル,牡2,55,木幡 巧也,40.3,436(-6),和田 雄二,13,0,17.7,0.9,北東
,,,,,,,,,,,,,
2019/10/27,4R,,,,,,,,,,,,
1,14,アカノニジュウイチ,牝2,54,藤岡 佑介,32.9,438(初出走),尾関 知人,7,0,17.7,0.9,北東
2,16,マカロンパフェ,牝2,54,岩田 康誠,34.1,474(初出走),河内 洋,4,0,17.7,0.9,北東
3,12,シネマトグラフ,牝2,54,C.ルメール,34.1,458(初出走),奥村 武,2,0,17.7,0.9,北東
4,17,フェルハール,牝2,54,川田 将雅,34.8,446(初出走),安田 隆行,1,0,17.7,0.9,北東
5,9,アテナノワール,牝2,54,大野 拓弥,34,478(初出走),久保田 貴士,6,0,17.7,0.9,北東
6,10,ラキャラントシス,牝2,54,北村 友一,34.4,488(初出走),鈴木 伸尋,8,0,17.7,0.9,北東
7,1,ナイントゥファイブ,牝2,54,石橋 脩,33.5,462(初出走),西園 正都,5,0,17.7,0.9,北東
8,11,ウイングシューズ,牝2,54,木幡 巧也,33.9,394(初出走),牧 光二,13,0,17.7,0.9,北東
9,7,ボンボヤージ,牝2,54,武 豊,34.1,418(初出走),梅田 智之,3,0,17.7,0.9,北東
10,18,ヴィエリチカ,牝2,53,☆野中 悠太郎,34.7,452(初出走),相沢 郁,10,0,17.7,0.9,北東
11,3,エナミルク,牝2,54,北村 宏司,34.9,488(初出走),伊藤 大士,12,0,17.7,0.9,北東
12,6,ヤサカパフィー,牝2,54,横山 和生,35.6,462(初出走),水野 貴広,9,0,17.7,0.9,北東
13,8,ペイシャバイカ,牝2,53,☆坂井 瑠星,34.8,496(初出走),蛯名 利弘,11,0,17.7,0.9,北東
14,13,タカンナ,牝2,54,伊藤 工真,33.8,446(初出走),柄崎 孝,15,0,17.7,0.9,北東
15,4,ドナグラツィア,牝2,54,菅原 隆一,36.1,412(初出走),畠山 吉宏,16,0,17.7,0.9,北東
16,15,レイワノサクラ,牝2,54,江田 照男,36.8,454(初出走),大江原 哲,14,0,17.7,0.9,北東
17,5,サマープラネット,牝2,54,宮崎 北斗,34.8,438(初出走),的場 均,18,0,17.7,0.9,北東
18,2,ノーワンタッチミー,牝2,54,松岡 正海,34.8,416(初出走),天間 昭一,17,0,17.7,0.9,北東
,,,,,,,,,,,,,
2019/10/27,5R,,,,,,,,,,,,
1,3,トウケイタンホイザ,牡2,55,北村 宏司,33.7,468(初出走),清水 久詞,6,0,17.7,0.9,北東
2,9,シチリアフレイバー,牡2,55,戸崎 圭太,34.1,468(初出走),久保田 貴士,5,0,17.7,0.9,北東
3,11,エブリワンブラック,牡2,55,武 豊,33.9,496(初出走),武 幸四郎,4,0,17.7,0.9,北東
4,4,ゼノヴァース,牡2,55,C.ルメール,33.5,458(初出走),藤沢 和雄,1,0,17.7,0.9,北東
5,2,ブラックマジック,牡2,55,福永 祐一,34,434(初出走),戸田 博文,3,0,17.7,0.9,北東
6,12,サトノエスペランサ,牡2,55,M.デムーロ,34.3,490(初出走),堀 宣行,2,0,17.7,0.9,北東
7,6,キタノギャラクシー,牡2,55,田辺 裕信,34.5,478(初出走),松永 康利,8,0,17.7,0.9,北東
8,5,ケイアイタカプナ,牡2,55,幸 英明,33.8,456(初出走),田村 康仁,10,0,17.7,0.9,北東
9,8,ブレーナード,牡2,55,三浦 皇成,34.1,426(初出走),高橋 祥泰,7,0,17.7,0.9,北東
10,13,カミノホウオー,牡2,54,☆野中 悠太郎,34,488(初出走),竹内 正洋,9,0,17.7,0.9,北東
11,7,マイネルアンデス,牡2,55,木幡 巧也,34.3,434(初出走),高木 登,11,0,17.7,0.9,北東
12,14,キタノスイセイ,牡2,55,横山 和生,34.7,456(初出走),土田 稔,13,0,17.7,0.9,北東
13,1,サンコディー,牡2,55,松岡 正海,35.5,510(初出走),杉浦 宏昭,12,0,17.7,0.9,北東
14,10,プロトレジーナ,牝2,54,内田 博幸,37.6,440(初出走),浅野 洋一郎,14,0,17.7,0.9,北東